"transcript_biotype" "entrezgene" "ensembl_gene_id" "ensembl_gene_id_version" "hgnc_symbol" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val"
"LOXL1" "protein_coding" 4016 "ENSG00000129038" "ENSG00000129038.15" "LOXL1" 2.02902257597845 1.33010291111333 6.528425765902 3.14908326303149e-10 2.4638730976056e-08
"NUGGC" "protein_coding" 389643 "ENSG00000189233" "ENSG00000189233.11" "NUGGC" -2.81742119886263 2.65907305641521 -6.52457141996171 3.2155969557219e-10 2.50084869825844e-08
"FAM155B" "protein_coding" 27112 "ENSG00000130054" "ENSG00000130054.4" "FAM155B" 2.67991596441633 -1.01875684264134 6.50862101208869 3.50543504011299e-10 2.71003513696354e-08
"OTC" "protein_coding" 5009 "ENSG00000036473" "ENSG00000036473.7" "OTC" -3.04895459879565 5.25842073688902 -6.50725953541322 3.53153422694072e-10 2.71405719168675e-08
"LUM" "protein_coding" 4060 "ENSG00000139329" "ENSG00000139329.4" "LUM" 2.73326066416351 3.51527877940794 6.49761805070629 3.72024188244002e-10 2.84226479818418e-08
"ACSS3" "protein_coding" 79611 "ENSG00000111058" "ENSG00000111058.7" "ACSS3" -2.10377940730691 5.52893685476923 -6.48955644872541 3.88570568974693e-10 2.95131845020077e-08
"EFNA5" "protein_coding" 1946 "ENSG00000184349" "ENSG00000184349.12" "EFNA5" 2.97235918150663 -0.901936205191868 6.48223554312672 4.04251351225522e-10 3.05256776146342e-08
"FKBP10" "protein_coding" 60681 "ENSG00000141756" "ENSG00000141756.18" "FKBP10" 1.72466755584377 3.86174794385516 6.4805916597269 4.07829498376961e-10 3.06178585255489e-08
"MLIP" "protein_coding" 90523 "ENSG00000146147" "ENSG00000146147.14" "MLIP" -2.63486209639475 2.8072806749854 -6.46377600291649 4.46524625224826e-10 3.31397818995431e-08
"GBP7" "protein_coding" 388646 "ENSG00000213512" "ENSG00000213512.1" "GBP7" -3.19109988388305 3.07562508408646 -6.45088501193315 4.78663857023573e-10 3.51236507063399e-08
"EVC2" "protein_coding" 132884 "ENSG00000173040" "ENSG00000173040.12" "EVC2" 2.04415285247979 -0.085759151516244 6.44788287415982 4.86392450657982e-10 3.54902536468869e-08
"ADAP1" "protein_coding" 11033 "ENSG00000105963" "ENSG00000105963.13" "ADAP1" 1.9146380608726 0.632149684535638 6.43831922770943 5.12051681033602e-10 3.69473735181357e-08
"PTK7" "protein_coding" 5754 "ENSG00000112655" "ENSG00000112655.15" "PTK7" 1.96649671597362 2.4026045377442 6.41841319962844 5.69801045885269e-10 4.0887160132364e-08
"TMC6" "protein_coding" 11322 "ENSG00000141524" "ENSG00000141524.15" "TMC6" 1.57200785699188 3.70926614668586 6.38236171644913 6.91127458683883e-10 4.93206782054191e-08
"BHMT" "protein_coding" 635 "ENSG00000145692" "ENSG00000145692.14" "BHMT" -3.01312808380854 6.54156869124732 -6.37256506656917 7.28328099820237e-10 5.16913954123784e-08
"THBS2" "protein_coding" 7058 "ENSG00000186340" "ENSG00000186340.14" "THBS2" 2.16982571448745 4.07305012343934 6.36678088765504 7.51110430744629e-10 5.2917838924775e-08
"ITIH5" "protein_coding" 80760 "ENSG00000123243" "ENSG00000123243.14" "ITIH5" 2.75020070101061 1.55929040618061 6.36510546785148 7.57878117138414e-10 5.2917838924775e-08
"ALDH1L1" "protein_coding" 10840 "ENSG00000144908" "ENSG00000144908.13" "ALDH1L1" -2.71489808946248 7.7408819495867 -6.36411141838881 7.61906057817441e-10 5.2917838924775e-08
"ITPR3" "protein_coding" 3710 "ENSG00000096433" "ENSG00000096433.10" "ITPR3" 2.10358177734105 2.17363773701956 6.35634428627103 7.94119195141465e-10 5.48618090771136e-08
"FOXS1" "protein_coding" 2307 "ENSG00000179772" "ENSG00000179772.7" "FOXS1" 1.66768879958244 0.639804361796288 6.34771597433035 8.31495319916051e-10 5.714000642894e-08
"SULT2A1" "protein_coding" 6822 "ENSG00000105398" "ENSG00000105398.3" "SULT2A1" -3.14667499692043 7.53767533594161 -6.33578943483625 8.86145752207419e-10 6.03536266169666e-08
"MTTP" "protein_coding" 4547 "ENSG00000138823" "ENSG00000138823.13" "MTTP" -2.29707547740171 6.59450933419426 -6.32572712100257 9.34740831219674e-10 6.32313224785476e-08
"NR1I3" "protein_coding" 9970 "ENSG00000143257" "ENSG00000143257.11" "NR1I3" -2.63702633485152 4.65546124792708 -6.31011495174653 1.01560329462817e-09 6.83453657545628e-08
"TRPV4" "protein_coding" 59341 "ENSG00000111199" "ENSG00000111199.10" "TRPV4" 2.0763320135226 1.33714931695432 6.30902046876507 1.02150300095566e-09 6.83880462701653e-08
"LGI2" "protein_coding" 55203 "ENSG00000153012" "ENSG00000153012.11" "LGI2" 1.68162888438816 -0.155714340551776 6.28769353638056 1.14382822613989e-09 7.6184825646692e-08
"HAO1" "protein_coding" 54363 "ENSG00000101323" "ENSG00000101323.4" "HAO1" -2.36809214444051 6.64415808286999 -6.27467590606234 1.22545259028843e-09 8.07927829576962e-08
"OLFML3" "protein_coding" 56944 "ENSG00000116774" "ENSG00000116774.11" "OLFML3" 1.66990017159128 2.2967037950578 6.27328991567113 1.23446685413834e-09 8.09760378866098e-08
"COL5A1" "protein_coding" 1289 "ENSG00000130635" "ENSG00000130635.15" "COL5A1" 1.86056348584206 4.8194179228974 6.27161301614726 1.24546699102029e-09 8.12870617053848e-08
"PIPOX" "protein_coding" 51268 "ENSG00000179761" "ENSG00000179761.11" "PIPOX" -1.94044530332755 7.64048580792399 -6.27061598534968 1.25205294174915e-09 8.13083180371896e-08
"HLF" "protein_coding" 3131 "ENSG00000108924" "ENSG00000108924.13" "HLF" -2.05519565302027 5.47302003714038 -6.26146604180223 1.31411193304318e-09 8.47658223690299e-08
"SLC34A2" "protein_coding" 10568 "ENSG00000157765" "ENSG00000157765.12" "SLC34A2" 4.27312408703832 -1.45314818251353 6.26128321087799 1.31834740672498e-09 8.47658223690299e-08
"RAP1GAP2" "protein_coding" 23108 "ENSG00000132359" "ENSG00000132359.14" "RAP1GAP2" 1.86850356314599 1.18337900247746 6.22370448486302 1.60376897210421e-09 1.02106624557301e-07
"FMO4" "protein_coding" 2329 "ENSG00000076258" "ENSG00000076258.9" "FMO4" -1.69226605433776 4.01450801128011 -6.22276351983667 1.611734240383e-09 1.0211319177607e-07
"ADH4" "protein_coding" 127 "ENSG00000198099" "ENSG00000198099.8" "ADH4" -3.76049352968464 6.81582982890944 -6.22198871491787 1.61981880694114e-09 1.02127216818212e-07
"ARNT2" "protein_coding" 9915 "ENSG00000172379" "ENSG00000172379.20" "ARNT2" 2.41330195251083 0.601902044090746 6.21349257990968 1.69233097391957e-09 1.05673051390708e-07
"ROR2" "protein_coding" 4920 "ENSG00000169071" "ENSG00000169071.14" "ROR2" 2.07138033323289 -0.227196939514777 6.19063729003695 1.90825488648194e-09 1.16358753359753e-07
"SPINT2" "protein_coding" 10653 "ENSG00000167642" "ENSG00000167642.12" "SPINT2" 2.29550792420441 2.94466277513573 6.18785114388148 1.93636591270765e-09 1.17521123711434e-07
"A1BG" "protein_coding" 1 "ENSG00000121410" "ENSG00000121410.11" "A1BG" -2.56864739091513 5.41105168340968 -6.17316333372513 2.09141206569048e-09 1.25755832912907e-07
"TM6SF2" "protein_coding" 53345 "ENSG00000213996" "ENSG00000213996.12" "TM6SF2" -2.00726952580644 3.08070652953173 -6.17223355828247 2.10158523111499e-09 1.25785202680744e-07
"RAB3D" "protein_coding" 9545 "ENSG00000105514" "ENSG00000105514.7" "RAB3D" 1.84547862744107 1.72781797299997 6.16569802780141 2.17476279870349e-09 1.29567978117252e-07
"HSD11B1" "protein_coding" 3290 "ENSG00000117594" "ENSG00000117594.9" "HSD11B1" -3.17737114095521 6.03087936916613 -6.1634380272641 2.20114805862224e-09 1.3054114605199e-07
"GALNT7" "protein_coding" 51809 "ENSG00000109586" "ENSG00000109586.11" "GALNT7" 1.7071295112396 0.976543030174699 6.16180529220098 2.21953142934331e-09 1.3103306456505e-07
"SERPINC1" "protein_coding" 462 "ENSG00000117601" "ENSG00000117601.13" "SERPINC1" -2.99929886415061 10.170216912042 -6.15139750049276 2.3440179814619e-09 1.37756133679761e-07
"ABCA6" "protein_coding" 23460 "ENSG00000154262" "ENSG00000154262.12" "ABCA6" -2.10370619017039 5.3257481137862 -6.15026439885529 2.35764134706348e-09 1.37932638809282e-07
"AGXT2" "protein_coding" 64902 "ENSG00000113492" "ENSG00000113492.13" "AGXT2" -2.57579191327627 4.19378501408782 -6.14645898885244 2.40505099334921e-09 1.40075346644034e-07
"DDR1" "protein_coding" 780 "ENSG00000204580" "ENSG00000204580.13" "DDR1" 1.87836986938945 4.12138284577881 6.14298533486052 2.44904562517557e-09 1.42000913302591e-07
"EPCAM" "protein_coding" 4072 "ENSG00000119888" "ENSG00000119888.10" "EPCAM" 4.145810164554 1.4105412838921 6.12608772686744 2.6808665284929e-09 1.54066789699406e-07
"FRAS1" "protein_coding" 80144 "ENSG00000138759" "ENSG00000138759.18" "FRAS1" 3.1811078840129 0.5303127271512 6.1207814830678 2.75057297572919e-09 1.57376395633351e-07
"LIF" "protein_coding" 3976 "ENSG00000128342" "ENSG00000128342.4" "LIF" 2.2003301438577 1.16915809805464 6.11321723178957 2.86042272254607e-09 1.62943729475563e-07
"F3" "protein_coding" 2152 "ENSG00000117525" "ENSG00000117525.13" "F3" 1.68827292630693 0.643668953940485 6.1120464118197 2.87791081689997e-09 1.6322404231396e-07
"FXYD2" "protein_coding" 486 "ENSG00000137731" "ENSG00000137731.13" "FXYD2" 4.15004643261688 0.453961188311508 6.10460905695283 2.99852767822558e-09 1.69325554281712e-07
"SLC47A1" "protein_coding" 55244 "ENSG00000142494" "ENSG00000142494.13" "SLC47A1" -1.83241355563271 5.92762795317839 -6.10157109399853 3.03917674883315e-09 1.70878041618377e-07
"HUNK" "protein_coding" 30811 "ENSG00000142149" "ENSG00000142149.8" "HUNK" 2.4941580753321 0.398405003343145 6.09131276977162 3.20572864857158e-09 1.78695294796771e-07
"ADH1B" "protein_coding" 125 "ENSG00000196616" "ENSG00000196616.13" "ADH1B" -2.68868126680916 9.13383607143904 -6.08921326712852 3.24097888707799e-09 1.79888178569953e-07
"GAL3ST1" "protein_coding" 9514 "ENSG00000128242" "ENSG00000128242.12" "GAL3ST1" 2.68530679844631 2.08970843205598 6.08669642004703 3.28363090489122e-09 1.80711009291217e-07
"EVC" "protein_coding" 2121 "ENSG00000072840" "ENSG00000072840.12" "EVC" 2.1413548123489 1.89803041784484 6.08464647876774 3.31864222589616e-09 1.81867195063035e-07
"RTP3" "protein_coding" 83597 "ENSG00000163825" "ENSG00000163825.3" "RTP3" -3.77008232483263 3.124876906605 -6.08336779802965 3.34475718453539e-09 1.82528177784645e-07
"SULF2" "protein_coding" 55959 "ENSG00000196562" "ENSG00000196562.14" "SULF2" 1.61260903389313 4.97903248730848 6.08153601312459 3.37267010508422e-09 1.83281336087171e-07
"AGMO" "protein_coding" 392636 "ENSG00000187546" "ENSG00000187546.13" "AGMO" -1.58441583538366 5.35867353978038 -6.07694917750483 3.45392700469105e-09 1.86915016403864e-07
"LPAR1" "protein_coding" 1902 "ENSG00000198121" "ENSG00000198121.13" "LPAR1" 2.16099049073884 -0.723042646200296 6.06638057087976 3.64853564947539e-09 1.95814797584241e-07
"ALOX5" "protein_coding" 240 "ENSG00000012779" "ENSG00000012779.10" "ALOX5" 1.72187866660505 1.66995895154315 6.06429679461343 3.68814679047573e-09 1.97126133805345e-07
"MXRA5" "protein_coding" 25878 "ENSG00000101825" "ENSG00000101825.7" "MXRA5" 1.83169617560814 1.88810444218701 6.0520834241609 3.92897871845992e-09 2.0743729916812e-07
"CTHRC1" "protein_coding" 115908 "ENSG00000164932" "ENSG00000164932.12" "CTHRC1" 2.03641213088465 1.54330726372516 6.04843858726923 4.00379299912216e-09 2.09630829561146e-07
"FETUB" "protein_coding" 26998 "ENSG00000090512" "ENSG00000090512.11" "FETUB" -3.13562562086543 4.72567227949862 -6.0480094383149 4.01371763342273e-09 2.09630829561146e-07
"MISP" "protein_coding" 126353 "ENSG00000099812" "ENSG00000099812.8" "MISP" 4.27143094563216 -1.15187040469336 6.03101392949952 4.3951214291066e-09 2.27425645901341e-07
"MAPK13" "protein_coding" 5603 "ENSG00000156711" "ENSG00000156711.16" "MAPK13" 1.99039463191041 2.83850331509667 6.0284308501136 4.44000794082935e-09 2.28836599744014e-07
"MOXD1" "protein_coding" 26002 "ENSG00000079931" "ENSG00000079931.14" "MOXD1" 2.08094032204749 0.865218624130096 6.01621614911583 4.72887074578593e-09 2.42761159076157e-07
"BHMT2" "protein_coding" 23743 "ENSG00000132840" "ENSG00000132840.9" "BHMT2" -1.88262755317357 7.4271648788134 -6.00830616009137 4.92566655883637e-09 2.50880616730066e-07
"ABAT" "protein_coding" 18 "ENSG00000183044" "ENSG00000183044.11" "ABAT" -1.69985115468836 7.38590077359563 -6.0015791970641 5.09932976317296e-09 2.58711308453478e-07
"FGGY" "protein_coding" 55277 "ENSG00000172456" "ENSG00000172456.17" "FGGY" -1.83219757288127 5.59878639372504 -5.99463289477794 5.28495051174111e-09 2.67085358935772e-07
"C14orf132" "protein_coding" 56967 "ENSG00000227051" "ENSG00000227051.6" "C14orf132" 1.86328712406661 1.25355743178815 5.99088895155576 5.38772617982838e-09 2.71223983037252e-07
"ACKR2" "protein_coding" 1238 "ENSG00000144648" "ENSG00000144648.15" "ACKR2" -2.0849523345103 2.26483231642272 -5.98960683884458 5.42337628007768e-09 2.71964521720652e-07
"TNFSF15" "protein_coding" 9966 "ENSG00000181634" "ENSG00000181634.7" "TNFSF15" 1.77665613905239 0.0283816104884411 5.97961031195983 5.7093153308386e-09 2.85202259680507e-07
"COL1A2" "protein_coding" 1278 "ENSG00000164692" "ENSG00000164692.17" "COL1A2" 1.82133057222384 7.09895140817414 5.97287148999354 5.91035697644123e-09 2.91877248707295e-07
"KCNJ8" "protein_coding" 3764 "ENSG00000121361" "ENSG00000121361.3" "KCNJ8" -1.74040722300999 4.69921014408849 -5.95885644213498 6.35093404674493e-09 3.10097486462869e-07
"GGT5" "protein_coding" 2687 "ENSG00000099998" "ENSG00000099998.17" "GGT5" 1.60812445487605 3.74443660757448 5.95070851996916 6.6216936993975e-09 3.2210695793174e-07
"SAMD11" "protein_coding" 148398 "ENSG00000187634" "ENSG00000187634.11" "SAMD11" 2.27891519985533 -0.356411218677017 5.94214362501194 6.9185428417374e-09 3.35291173240617e-07
"PLEKHB1" "protein_coding" 58473 "ENSG00000021300" "ENSG00000021300.13" "PLEKHB1" 2.5963945949984 -0.0313297190362124 5.93755731699631 7.08303462629322e-09 3.4198681682638e-07
"KRT19" "protein_coding" 3880 "ENSG00000171345" "ENSG00000171345.13" "KRT19" 3.91423115321908 0.590542314626415 5.93562702143075 7.16758875364468e-09 3.44787565675323e-07
"ABCB11" "protein_coding" 8647 "ENSG00000073734" "ENSG00000073734.8" "ABCB11" -3.67765867235279 3.20657175784426 -5.90980077955484 8.17236628851704e-09 3.91670455185459e-07
"CDKN1C" "protein_coding" 1028 "ENSG00000129757" "ENSG00000129757.13" "CDKN1C" 1.70496432864204 1.69884149562016 5.90769558361516 8.24948462751371e-09 3.9391289096378e-07
"BGN" "protein_coding" 633 "ENSG00000182492" "ENSG00000182492.15" "BGN" 1.74257672741447 6.98351416567712 5.90392796203443 8.40944724182835e-09 4.00080222625885e-07
"B3GAT1" "protein_coding" 27087 "ENSG00000109956" "ENSG00000109956.12" "B3GAT1" 2.72931064432527 -0.371436128023946 5.90035257530613 8.56475839268054e-09 4.05982051109981e-07
"SPDYC" "protein_coding" 387778 "ENSG00000204710" "ENSG00000204710.2" "SPDYC" -2.38074292476873 -0.0213143481025353 -5.87919075683094 9.53790429550465e-09 4.50466549054598e-07
"ADAM28" "protein_coding" 10863 "ENSG00000042980" "ENSG00000042980.12" "ADAM28" 1.79876205259802 0.0487870456173987 5.86847681567604 1.00712454976304e-08 4.71981808141015e-07
"COL1A1" "protein_coding" 1277 "ENSG00000108821" "ENSG00000108821.13" "COL1A1" 2.07028151038281 7.68169949439508 5.86842249684215 1.0074040591798e-08 4.71981808141015e-07
"SCD5" "protein_coding" 79966 "ENSG00000145284" "ENSG00000145284.11" "SCD5" 1.99567003078689 0.74464465814956 5.8656692814338 1.02158136026036e-08 4.75566261901846e-07
"CPN2" "protein_coding" 1370 "ENSG00000178772" "ENSG00000178772.6" "CPN2" -2.50038738324478 6.88274078470172 -5.85762127799657 1.06418782470838e-08 4.93631123832585e-07
"SNAP25" "protein_coding" 6616 "ENSG00000132639" "ENSG00000132639.12" "SNAP25" 2.60520430055455 0.128568245839495 5.85043555554051 1.10368985655519e-08 5.10132521599246e-07
"MOGAT2" "protein_coding" 80168 "ENSG00000166391" "ENSG00000166391.14" "MOGAT2" -3.75900127179784 2.72086761767816 -5.84398566304438 1.14230646043357e-08 5.24250046223011e-07
"SEC14L2" "protein_coding" 23541 "ENSG00000100003" "ENSG00000100003.17" "SEC14L2" -1.89537760674961 6.22698029900255 -5.8422259087142 1.15048750942907e-08 5.26145484945941e-07
"CDCP1" "protein_coding" 64866 "ENSG00000163814" "ENSG00000163814.7" "CDCP1" 2.15120493506104 0.383978981935724 5.83089211559341 1.21839193238023e-08 5.55244716412435e-07
"B3GNT7" "protein_coding" 93010 "ENSG00000156966" "ENSG00000156966.6" "B3GNT7" 1.94323421712443 0.435467613764165 5.82230908256499 1.2724024119908e-08 5.77830857585193e-07
"CYP2A6" "protein_coding" 1548 "ENSG00000255974" "ENSG00000255974.7" "CYP2A6" -4.0458812830476 6.08014891166367 -5.8170654209125 1.31059601605933e-08 5.91042397797867e-07
"SYNGR1" "protein_coding" 9145 "ENSG00000100321" "ENSG00000100321.14" "SYNGR1" 1.95685975222864 2.48372447366579 5.79201093617395 1.48246455305452e-08 6.6623701090215e-07
"PITX1" "protein_coding" 5307 "ENSG00000069011" "ENSG00000069011.15" "PITX1" 3.45221695795114 -0.615034447139288 5.78751134675177 1.51796957748301e-08 6.79840995598251e-07
"CYP4F11" "protein_coding" 57834 "ENSG00000171903" "ENSG00000171903.16" "CYP4F11" -1.89154794472975 6.13421478293598 -5.78330274933949 1.54887399331287e-08 6.91298124575516e-07
"PLEKHH2" "protein_coding" 130271 "ENSG00000152527" "ENSG00000152527.13" "PLEKHH2" 1.84326628317466 -0.21091556395506 5.77482024339789 1.61635628968986e-08 7.18946420907258e-07
"POSTN" "protein_coding" 10631 "ENSG00000133110" "ENSG00000133110.14" "POSTN" 2.21015224036621 2.74447395167439 5.77288142584322 1.63219099286548e-08 7.23511829874979e-07
"COL3A1" "protein_coding" 1281 "ENSG00000168542" "ENSG00000168542.14" "COL3A1" 1.85487941321183 7.30046383940099 5.76903816415307 1.66399489939262e-08 7.34989419268971e-07
"LDHD" "protein_coding" 197257 "ENSG00000166816" "ENSG00000166816.13" "LDHD" -1.68556992554587 5.78490611435916 -5.75410698617693 1.79345298820945e-08 7.86938088204874e-07
"ENPP7" "protein_coding" 339221 "ENSG00000182156" "ENSG00000182156.9" "ENPP7" -2.69980358331256 3.14426067291551 -5.75121564241715 1.81982818678321e-08 7.95822508078799e-07
"ADORA1" "protein_coding" 134 "ENSG00000163485" "ENSG00000163485.16" "ADORA1" 2.37020217520426 -0.279819773900277 5.74842345891451 1.84531532138169e-08 8.01570414518577e-07
"C4orf48" "protein_coding" 401115 "ENSG00000243449" "ENSG00000243449.6" "C4orf48" 1.7038572881168 -0.323837945223341 5.74692242115929 1.85920537406904e-08 8.04911979946955e-07
"APLP1" "protein_coding" 333 "ENSG00000105290" "ENSG00000105290.11" "APLP1" 2.29504175069672 0.262395832538666 5.74579596335625 1.86975163901118e-08 8.06601641128885e-07
"GPD1" "protein_coding" 2819 "ENSG00000167588" "ENSG00000167588.12" "GPD1" -2.15831774262887 5.03609912110579 -5.71997804532682 2.12746761065505e-08 8.97128224908694e-07
"PLEKHG4" "protein_coding" 25894 "ENSG00000196155" "ENSG00000196155.12" "PLEKHG4" 1.92383735143748 0.0464236440950638 5.71914314350867 2.13634608550072e-08 8.97956730048007e-07
"MMP2" "protein_coding" 4313 "ENSG00000087245" "ENSG00000087245.12" "MMP2" 1.7336705569454 4.15410536529073 5.71150732349999 2.21934732847196e-08 9.29834938780446e-07
"SRD5A2" "protein_coding" 6716 "ENSG00000277893" "ENSG00000277893.1" "SRD5A2" -3.44666855650028 2.40804180783412 -5.7056121421409 2.28826414448536e-08 9.52563291941533e-07
"AEBP1" "protein_coding" 165 "ENSG00000106624" "ENSG00000106624.10" "AEBP1" 1.88714644114479 4.99047036033482 5.70297271600489 2.31585365738711e-08 9.57907875864453e-07
"GLIS3" "protein_coding" 169792 "ENSG00000107249" "ENSG00000107249.22" "GLIS3" 1.68253237616493 2.39461826344228 5.70175811385293 2.32991560456421e-08 9.60664884827935e-07
"MFAP3L" "protein_coding" 9848 "ENSG00000198948" "ENSG00000198948.11" "MFAP3L" -2.28726067206005 3.11115990254696 -5.70042475394265 2.34548511572541e-08 9.64024072248152e-07
"DLG3" "protein_coding" 1741 "ENSG00000082458" "ENSG00000082458.11" "DLG3" 1.61888190915081 1.92225196235216 5.69486420839208 2.41133193857216e-08 9.87961489532341e-07
"HAPLN3" "protein_coding" 145864 "ENSG00000140511" "ENSG00000140511.11" "HAPLN3" 1.61368881658325 0.924199309830449 5.69384486715203 2.42360381447153e-08 9.89866866111829e-07
"TTPA" "protein_coding" 7274 "ENSG00000137561" "ENSG00000137561.4" "TTPA" -1.98634482133528 4.75906305215342 -5.69091634591837 2.45920498355439e-08 1.00125875631362e-06
"MYRIP" "protein_coding" 25924 "ENSG00000170011" "ENSG00000170011.13" "MYRIP" -2.86244370846955 3.41430058138384 -5.67074449504261 2.71930815768129e-08 1.09007328246804e-06
"BICC1" "protein_coding" 80114 "ENSG00000122870" "ENSG00000122870.11" "BICC1" 2.30818203210072 2.71402269539566 5.65582760514881 2.92759593187574e-08 1.16280171141291e-06
"CES3" "protein_coding" 23491 "ENSG00000172828" "ENSG00000172828.12" "CES3" -2.08790999941011 4.03471245131098 -5.6541855638787 2.95148146793503e-08 1.1687146739494e-06
"TSKU" "protein_coding" 25987 "ENSG00000182704" "ENSG00000182704.7" "TSKU" -1.8640392984249 7.01089528480359 -5.65200988361132 2.98347114455305e-08 1.17779097949711e-06
"PIMREG" "protein_coding" 54478 "ENSG00000129195" "ENSG00000129195.15" "PIMREG" 1.87060383597255 -0.373007235079749 5.64302833145738 3.11920150350039e-08 1.22024666046576e-06
"CES1" "protein_coding" 1066 "ENSG00000198848" "ENSG00000198848.12" "CES1" -2.19233319155017 10.1510144819291 -5.64223772113028 3.13146252010661e-08 1.2213644207551e-06
"OLFM1" "protein_coding" 10439 "ENSG00000130558" "ENSG00000130558.19" "OLFM1" 2.01693859916174 0.302319739076924 5.63360951632522 3.26802264896718e-08 1.27081072349658e-06
"FZD7" "protein_coding" 8324 "ENSG00000155760" "ENSG00000155760.2" "FZD7" 1.63764021614055 0.998993884038353 5.62979623729321 3.33021499694345e-08 1.29112932478512e-06
"C8A" "protein_coding" 731 "ENSG00000157131" "ENSG00000157131.10" "C8A" -2.13128941965957 6.86633886826909 -5.60160314010724 3.82739294331269e-08 1.46206410434545e-06
"IYD" "protein_coding" 389434 "ENSG00000009765" "ENSG00000009765.14" "IYD" -2.32719215733 3.10308612377494 -5.59852869279289 3.88587452157915e-08 1.48005097613695e-06
"WIPF3" "protein_coding" 644150 "ENSG00000122574" "ENSG00000122574.10" "WIPF3" 2.02112555371423 0.804832356278504 5.58868024874953 4.07880866200868e-08 1.54447716915944e-06
"FCHO1" "protein_coding" 23149 "ENSG00000130475" "ENSG00000130475.14" "FCHO1" 1.75199980914659 0.343708210628725 5.56609494616915 4.55747290347512e-08 1.71565890502648e-06
"SPIRE1" "protein_coding" 56907 "ENSG00000134278" "ENSG00000134278.15" "SPIRE1" 1.62748747996895 1.23251044516217 5.56390011255824 4.60681190782416e-08 1.71614432641925e-06
"ITGA3" "protein_coding" 3675 "ENSG00000005884" "ENSG00000005884.17" "ITGA3" 1.61473653257388 3.34448883632197 5.54859745963291 4.96560049830813e-08 1.83219372931892e-06
"KLF15" "protein_coding" 28999 "ENSG00000163884" "ENSG00000163884.3" "KLF15" -1.69930681777522 5.89253200370389 -5.54349804595787 5.09111252853102e-08 1.87318327253714e-06
"SLC22A17" "protein_coding" 51310 "ENSG00000092096" "ENSG00000092096.16" "SLC22A17" 1.93585933000833 1.18942533119209 5.54254726850637 5.11486263914872e-08 1.87660553551592e-06
"LARP6" "protein_coding" 55323 "ENSG00000166173" "ENSG00000166173.10" "LARP6" 1.77218789720646 1.14205476648061 5.52731208080888 5.51035020587868e-08 2.00790048943324e-06
"PODN" "protein_coding" 127435 "ENSG00000174348" "ENSG00000174348.13" "PODN" 1.98446521057486 1.74146686503857 5.52698782911987 5.51909820393954e-08 2.00790048943324e-06
"CFHR2" "protein_coding" 3080 "ENSG00000080910" "ENSG00000080910.11" "CFHR2" -2.46649528432085 2.36529039642416 -5.52311700474975 5.62476684279033e-08 2.04062770263019e-06
"IL27" "protein_coding" 246778 "ENSG00000197272" "ENSG00000197272.2" "IL27" -2.05907568169761 1.64806005043357 -5.52139229637166 5.67197034982517e-08 2.05202091653285e-06
"CFHR4" "protein_coding" 10877 "ENSG00000134365" "ENSG00000134365.12" "CFHR4" -2.94007644516591 3.65998288510861 -5.50226387357339 6.22915780991365e-08 2.24734171208773e-06
"PRRX1" "protein_coding" 5396 "ENSG00000116132" "ENSG00000116132.11" "PRRX1" 1.56957476478019 0.794424475987334 5.49998220149185 6.29587488762678e-08 2.26511975181431e-06
"ACSL1" "protein_coding" 2180 "ENSG00000151726" "ENSG00000151726.13" "ACSL1" -1.55133955722255 8.2741588545104 -5.47368236778239 7.15439199877982e-08 2.54578748712746e-06
"ARID3C" "protein_coding" 138715 "ENSG00000205143" "ENSG00000205143.2" "ARID3C" -1.96895579813149 0.777696171042183 -5.46556850257143 7.44159849848632e-08 2.63355534872862e-06
"F12" "protein_coding" 2161 "ENSG00000131187" "ENSG00000131187.9" "F12" -2.29178660151225 7.99992521123136 -5.45732807102687 7.7449799214272e-08 2.73294615943245e-06
"LY6E" "protein_coding" 4061 "ENSG00000160932" "ENSG00000160932.10" "LY6E" 1.9515792730255 5.71008489474791 5.43789417221443 8.50817366087471e-08 2.95465667132195e-06
"KIF26B" "protein_coding" 55083 "ENSG00000162849" "ENSG00000162849.15" "KIF26B" 1.86529900930435 0.620775408061103 5.43571616357308 8.59815672193968e-08 2.96214481444436e-06
"COL9A2" "protein_coding" 1298 "ENSG00000049089" "ENSG00000049089.14" "COL9A2" 1.62904718967631 0.740659586687443 5.43394318141138 8.67209098416182e-08 2.97185007130062e-06
"SLC2A2" "protein_coding" 6514 "ENSG00000163581" "ENSG00000163581.13" "SLC2A2" -2.19977928763389 7.43777833686669 -5.42868883821458 8.89507153266446e-08 3.03226218021643e-06
"ADHFE1" "protein_coding" 137872 "ENSG00000147576" "ENSG00000147576.15" "ADHFE1" -1.60780179651173 4.23625153461988 -5.42517043788172 9.0471929077597e-08 3.0760455886383e-06
"MN1" "protein_coding" 4330 "ENSG00000169184" "ENSG00000169184.5" "MN1" 1.59648907241719 0.676833149456935 5.42241222987638 9.16836103026931e-08 3.10100711096713e-06
"F13B" "protein_coding" 2165 "ENSG00000143278" "ENSG00000143278.3" "F13B" -2.2590190422091 5.98470532705716 -5.41454906218112 9.52282399763656e-08 3.20420824044828e-06
